Date,Open,High,Low,Close,Volume,Market Cap
Jul-31-2021,41582.56,42475.97,39657.25,40120.70,58507194382.22,778532262681.45
Jul-30-2021,42278.66,42278.66,41142.88,41701.00,73216348003.56,781288809337.94
Jul-29-2021,39990.47,42094.78,38371.28,42094.78,58156415288.89,743518127668.97
Jul-28-2021,40016.36,40542.05,39339.66,39993.53,71065073251.56,747876722584.43
Jul-27-2021,39454.99,40816.35,38937.84,39999.97,86298185116.44,747991262254.27
Jul-26-2021,37292.76,39204.30,36462.03,39184.61,88056814919.11,706886857254.70
Jul-25-2021,35340.07,40497.99,35321.90,37211.42,84057801560.31,718521334086.50
Jul-24-2021,34245.84,35244.40,33899.70,35227.35,40433578091.04,644752032173.80
Jul-23-2021,33577.41,34484.24,33432.42,34211.77,48296097848.89,635148001917.19
Jul-22-2021,32293.94,33506.09,32075.86,33506.09,43696585344.00,609309809498.15
Jul-21-2021,32129.59,32489.11,31734.31,32338.55,54591578894.22,602767264602.47
Jul-20-2021,29801.49,32766.06,29541.54,32142.94,50268395206.02,585072482636.48
Jul-19-2021,30813.64,30944.29,29354.71,29759.93,47087937607.11,559670772835.04
Jul-18-2021,31771.72,31882.70,30553.73,30851.95,36608378154.67,584947899229.46
Jul-17-2021,31513.00,32372.27,31309.97,31813.00,35431331811.56,595821087426.87
Jul-16-2021,31382.29,31887.17,31207.82,31570.17,39981969159.11,591794208880.11
Jul-15-2021,31750.78,32181.80,31110.21,31385.55,54022773717.33,595476652907.69
Jul-14-2021,32824.59,33141.40,31206.51,31641.45,55759464576.00,602118163097.95
Jul-13-2021,32716.29,33046.03,31717.78,32776.14,47348114517.33,609145086950.14
Jul-12-2021,33149.99,33285.78,32272.67,32567.57,54416065045.33,616022524218.37
Jul-11-2021,34224.74,34561.15,32707.30,33219.35,59765045361.78,631940462199.15
Jul-10-2021,33511.52,34534.33,33324.92,34249.77,55801800860.99,633661622140.19
Jul-09-2021,33813.49,34215.52,33139.69,33548.82,66022713756.44,631995994564.46
Jul-08-2021,32896.81,34037.43,32321.36,33866.20,76918683136.00,621900214874.87
Jul-07-2021,33868.69,33868.69,32094.25,32837.96,66246736881.78,616771714032.40
Jul-06-2021,34220.71,34955.62,33861.41,33867.47,57955368704.00,647785958079.96
Jul-05-2021,33691.17,35046.03,33648.66,34106.81,61017993116.44,640276009207.82
Jul-04-2021,35308.20,35308.20,33125.60,33866.54,50617003704.89,639199767237.07
Jul-03-2021,34674.44,35920.38,34400.03,35312.39,38805155754.67,661282250051.15
Jul-02-2021,33803.88,34884.82,33402.30,34698.30,40253461668.70,642886925899.23
Jul-01-2021,33504.93,33861.64,32781.65,33846.01,53898509084.44,623898253988.09
Jun-30-2021,35019.70,35019.70,32869.75,33628.67,55957183184.72,632116199377.63
Jun-29-2021,35857.88,36081.63,34140.02,35060.43,57470426222.61,654591266167.68
